,country,sex,height,weight,age,years_cl,grades_max,grades_mean,year_last,max_fra
0,SWE,0,177,73,25.0,5,62,46.75,2001,8a+/8b
1,SWE,0,180,78,27.0,5,59,52.833333333333336,2000,8a
2,NOR,0,177,68,37.0,14,53,51.4,2010,7b+
3,BEL,0,180,68,21.0,6,49,37.25,2002,7a+
4,CAN,0,180,68,45.0,29,64,50.395348837209305,2017,8b/+
5,GBR,0,178,73,35.0,24,71,57.73684210526316,2017,9a
6,NLD,0,178,78,28.0,4,53,47.75,2000,7b+
7,SWE,0,181,68,27.0,11,62,45.06437768240343,2008,8a+/8b
8,SWE,0,182,68,21.0,7,62,56.16417910447761,2003,8a+/8b
9,SWE,0,183,73,29.0,7,62,49.42307692307692,2006,8a+/8b
10,USA,0,183,73,32.0,8,62,53.52777777777778,2002,8a+/8b
11,DEU,0,188,83,43.0,26,66,56.61066666666667,2017,8b+/8c
12,NOR,0,183,73,26.0,7,59,47.06818181818182,2002,8a
13,SWE,0,186,83,35.0,17,53,45.95652173913044,2007,7b+
14,ITA,0,172,63,45.0,27,66,54.91139240506329,2016,8b+/8c
15,FRA,0,183,78,24.0,6,53,45.375,1999,7b+
16,USA,0,178,63,34.0,18,77,66.45454545454545,2015,9b+
17,POL,0,168,68,33.0,9,55,50.75,2002,7c
18,SWE,0,180,73,34.0,11,62,51.885416666666664,2011,8a+/8b
19,FRA,0,180,73,48.0,27,70,58.659574468085104,2017,8c+/9a
20,GBR,0,179,68,27.0,8,66,57.6764705882353,2002,8b+/8c
21,POL,0,173,73,44.0,25,66,53.21385281385282,2016,8b+/8c
22,PRT,0,172,58,31.0,6,51,39.15384615384615,2006,7b
23,other,0,165,63,42.0,19,62,49.325,2017,8a+/8b
24,NOR,0,170,68,45.0,25,68,58.24630541871921,2015,8c/+
25,NOR,0,177,78,26.0,11,66,55.19512195121951,2008,8b+/8c
26,other,0,165,63,31.0,13,64,60.42622950819672,2009,8b/+
27,AUS,0,185,68,34.0,19,68,60.05434782608695,2007,8c/+
28,DEU,0,193,83,25.0,11,66,57.30434782608695,2005,8b+/8c
29,USA,0,174,73,17.0,7,64,57.2,2002,8b/+
30,SWE,0,178,68,37.0,13,55,45.91111111111111,2010,7c
31,CZE,0,178,63,34.0,23,72,65.91489361702128,2011,9a/+
32,FRA,0,184,68,40.0,23,70,61.65034965034965,2013,8c+/9a
33,FRA,0,180,73,32.0,16,67,59.52808988764045,2011,8c
34,FRA,0,173,63,46.0,21,62,51.80172413793103,2012,8a+/8b
35,other,0,176,63,21.0,3,51,43.4,2000,7b
36,BEL,0,175,63,26.0,10,75,64.98550724637681,2006,9b
37,AUT,0,175,68,26.0,3,49,38.8125,2003,7a+
38,ESP,0,180,63,22.0,3,72,67.76923076923077,2003,9a/+
39,USA,0,180,73,45.0,27,59,49.90249433106576,2017,8a
40,CAN,0,173,63,35.0,15,62,51.46153846153846,2008,8a+/8b
41,SWE,0,179,73,22.0,6,59,52.30434782608695,2002,8a
42,GBR,0,165,58,39.0,25,70,54.533762057877816,2015,8c+/9a
43,PRT,0,167,73,22.0,8,64,54.94736842105263,2005,8b/+
44,NLD,0,170,68,36.0,15,44,33.204081632653065,2006,6c/+
45,SWE,0,185,83,30.0,9,62,52.36363636363637,2005,8a+/8b
46,CAN,0,182,78,31.0,15,59,56.5,2009,8a
47,AUT,0,183,78,24.0,4,62,57.75,2001,8a+/8b
48,SWE,0,178,63,30.0,14,66,53.96747967479675,2012,8b+/8c
49,GBR,0,170,68,23.0,3,62,52.857142857142854,2001,8a+/8b
50,SWE,0,174,63,28.0,6,53,48.0,2002,7b+
51,SWE,0,178,63,26.0,10,49,39.6764705882353,2005,7a+
52,POL,0,182,78,42.0,25,66,53.992248062015506,2015,8b+/8c
53,SWE,0,182,73,28.0,10,62,53.63636363636363,2010,8a+/8b
54,PRT,0,172,63,32.0,16,71,58.39598997493734,2017,9a
55,FRA,0,180,73,34.0,13,53,49.0,2002,7b+
56,USA,0,181,78,28.0,11,62,55.888888888888886,2001,8a+/8b
57,ITA,0,170,68,44.0,25,72,53.60797342192691,2017,9a/+
58,SWE,0,175,68,25.0,11,65,54.58064516129032,2010,8b+
59,ZAF,0,174,63,32.0,13,59,50.46153846153846,2010,8a
60,USA,0,166,73,27.0,13,57,46.214285714285715,2008,7c+
61,USA,0,185,78,35.0,15,66,58.92,2008,8b+/8c
62,USA,0,178,68,26.0,16,77,63.56565656565657,2012,9b+
63,NLD,0,180,73,38.0,15,62,51.63068181818182,2011,8a+/8b
64,FRA,0,176,68,33.0,6,57,53.94736842105263,2001,7c+
65,CAN,0,190,73,35.0,19,70,62.529411764705884,2015,8c+/9a
66,USA,0,173,68,36.0,20,75,65.10837438423646,2016,9b
67,FRA,0,180,73,31.0,4,42,40.0,2002,6b+/6c
68,BEL,0,173,68,33.0,13,53,43.67391304347826,2004,7b+
69,BEL,0,178,63,27.0,5,55,46.11764705882353,2001,7c
70,ITA,0,170,58,28.0,19,76,66.77372262773723,2015,9b/+
71,POL,0,170,68,41.0,23,53,39.223880597014926,2014,7b+
72,POL,0,171,63,42.0,25,66,55.663101604278076,2017,8b+/8c
73,NLD,0,180,78,44.0,23,64,43.056107539450615,2015,8b/+
74,SWE,0,179,68,35.0,10,49,45.285714285714285,2007,7a+
75,FRA,0,176,63,35.0,15,66,59.56428571428572,2010,8b+/8c
76,FRA,0,180,68,21.0,5,46,40.666666666666664,2005,6c+/7a
77,BEL,0,186,78,31.0,13,62,52.06194690265487,2004,8a+/8b
78,HRV,0,173,63,27.0,9,68,64.38461538461539,2002,8c/+
79,USA,0,178,68,42.0,19,66,56.25,2014,8b+/8c
80,CAN,0,167,58,20.0,5,59,52.0,2002,8a
81,NOR,0,183,78,45.0,22,69,55.61224489795919,2017,8c+
82,AUT,0,168,53,18.0,7,64,58.27272727272727,2002,8b/+
83,CAN,0,172,73,22.0,6,70,64.9090909090909,2004,8c+/9a
84,ZAF,0,180,73,29.0,4,49,36.397260273972606,2004,7a+
85,SWE,0,188,83,28.0,4,53,40.666666666666664,2002,7b+
86,ZAF,0,178,68,23.0,4,57,50.42857142857143,2004,7c+
87,FRA,0,173,68,39.0,23,62,52.04,2011,8a+/8b
88,SWE,0,179,78,21.0,7,51,44.57142857142857,2002,7b
89,DEU,0,183,68,39.0,17,55,41.05347593582888,2017,7c
90,SWE,0,186,73,35.0,15,51,43.666666666666664,2004,7b
91,SWE,0,176,63,33.0,16,68,62.53012048192771,2010,8c/+
92,CAN,0,171,63,49.0,28,68,57.05179282868526,2016,8c/+
93,other,0,182,73,44.0,20,64,53.57971014492754,2017,8b/+
94,SWE,0,178,68,32.0,3,62,53.5,2003,8a+/8b
95,USA,0,168,53,16.0,4,51,36.666666666666664,2002,7b
96,NLD,0,186,73,31.0,10,49,35.0,2004,7a+
97,SWE,0,170,63,31.0,17,51,40.04347826086956,2009,7b
98,USA,0,182,83,32.0,18,64,51.81818181818182,2015,8b/+
99,SWE,0,186,83,49.0,23,55,40.61538461538461,2013,7c
