user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
1,SWE,0,177,73,41.0,21,1999-02-06 23:00:00,2001-07-31 22:00:00,84,36,55,62,46.75,1999,2001
3,SWE,0,180,78,44.0,22,1999-03-31 22:00:00,2000-07-19 22:00:00,12,53,51,59,52.833333333333336,1999,2000
4,SWE,1,165,58,33.0,16,2004-06-30 22:00:00,2009-05-26 22:00:00,119,53,49,64,53.890756302521005,2004,2009
10,SWE,0,167,63,52.0,25,2000-01-14 23:00:00,2017-06-01 22:00:00,298,53,49,63,49.40604026845637,2000,2017
16,NOR,0,177,68,44.0,21,1998-02-27 23:00:00,2010-05-13 22:00:00,5,53,49,53,51.4,1998,2010
17,SWE,0,193,78,42.0,17,2001-06-19 22:00:00,2002-04-30 22:00:00,4,36,36,36,34.5,2001,2002
19,BEL,0,180,68,36.0,21,2000-08-07 22:00:00,2002-03-11 23:00:00,32,49,46,49,37.25,2000,2002
28,CAN,0,180,68,45.0,29,2000-09-01 22:00:00,2017-08-25 22:00:00,86,53,46,64,50.395348837209305,2000,2017
34,other,0,180,68,21.0,24,1999-12-31 23:00:00,2000-12-31 23:00:00,11,51,46,53,48.36363636363637,2000,2001
38,GBR,0,178,73,35.0,24,2000-11-03 23:00:00,2017-07-21 22:00:00,323,55,55,71,57.73684210526316,2000,2017
39,NLD,0,178,78,45.0,21,2000-09-09 22:00:00,2000-05-28 22:00:00,8,53,42,53,47.75,2000,2000
47,SWE,0,188,83,42.0,17,2001-04-15 22:00:00,2001-04-30 22:00:00,5,29,29,44,33.4,2001,2001
48,SWE,0,178,73,39.0,17,2000-06-09 22:00:00,2001-06-17 22:00:00,6,38,44,44,41.0,2000,2001
51,SWE,0,181,68,36.0,20,2000-09-05 22:00:00,2008-08-05 22:00:00,233,40,44,62,45.06437768240343,2000,2008
52,SWE,0,182,68,35.0,21,1998-12-31 23:00:00,2003-05-07 22:00:00,67,59,57,62,56.16417910447761,1999,2003
54,SWE,0,183,73,40.0,18,2000-11-16 23:00:00,2006-09-01 22:00:00,26,51,62,62,49.42307692307692,2000,2006
69,USA,0,183,73,47.0,23,2000-09-30 22:00:00,2002-07-21 22:00:00,36,55,51,62,53.52777777777778,2000,2002
79,DEU,0,188,83,43.0,26,1999-03-14 23:00:00,2017-08-26 22:00:00,375,62,53,66,56.61066666666667,1999,2017
80,NOR,0,183,73,41.0,22,2000-04-10 22:00:00,2002-05-11 22:00:00,44,59,44,59,47.06818181818182,2000,2002
86,SWE,0,186,83,45.0,27,2000-03-29 22:00:00,2007-09-27 22:00:00,23,44,49,53,45.95652173913044,2000,2007
89,ITA,0,172,63,46.0,28,2001-03-30 22:00:00,2016-01-31 23:00:00,79,57,53,66,54.91139240506329,2001,2016
98,FRA,0,183,78,42.0,24,2000-09-29 22:00:00,1999-07-25 22:00:00,8,38,53,53,45.375,2000,1999
111,SWE,0,187,78,44.0,20,2000-04-30 22:00:00,1998-07-14 22:00:00,8,36,36,38,35.375,2000,1998
118,USA,0,178,63,36.0,20,1999-12-31 23:00:00,2015-10-04 22:00:00,231,72,77,77,66.45454545454545,2000,2015
121,POL,0,168,68,48.0,24,1999-12-31 23:00:00,2002-09-06 22:00:00,4,55,49,55,50.75,2000,2002
129,SWE,0,180,73,40.0,17,2001-08-31 22:00:00,2011-10-01 22:00:00,192,51,46,62,51.885416666666664,2001,2011
137,NOR,0,184,78,42.0,17,2000-05-11 22:00:00,2002-12-21 23:00:00,24,53,53,59,53.333333333333336,2000,2002
148,ZAF,0,194,78,48.0,24,2001-04-19 22:00:00,2003-07-12 22:00:00,27,46,38,55,42.7037037037037,2001,2003
151,FRA,0,180,73,48.0,27,2000-02-25 23:00:00,2017-02-26 23:00:00,329,53,62,70,58.659574468085104,2000,2017
155,GBR,0,179,68,42.0,23,1998-12-31 23:00:00,2002-09-14 22:00:00,68,59,66,66,57.6764705882353,1999,2002
158,SWE,0,187,73,39.0,22,2000-01-29 23:00:00,2000-01-29 23:00:00,2,62,62,62,62.0,2000,2000
164,POL,0,173,73,45.0,26,2000-04-16 22:00:00,2016-09-19 22:00:00,1155,49,56,66,53.21385281385282,2000,2016
165,PRT,0,172,58,42.0,17,2003-01-31 23:00:00,2006-01-27 23:00:00,78,38,51,51,39.15384615384615,2003,2006
166,other,0,165,63,42.0,19,2008-03-17 23:00:00,2017-01-02 23:00:00,40,46,38,62,49.325,2008,2017
178,NOR,0,170,68,47.0,27,1999-12-26 23:00:00,2015-06-17 22:00:00,203,59,62,68,58.24630541871921,1999,2015
190,NOR,0,177,78,35.0,20,2001-05-31 22:00:00,2008-01-10 23:00:00,82,62,49,66,55.19512195121951,2001,2008
206,SWE,0,195,83,46.0,25,2001-07-09 22:00:00,2007-10-09 22:00:00,25,53,46,55,47.48,2001,2007
207,other,0,165,63,39.0,21,2001-03-31 22:00:00,2009-01-21 23:00:00,61,57,57,64,60.42622950819672,2001,2009
212,AUS,0,185,68,44.0,29,2000-01-09 23:00:00,2007-02-24 23:00:00,92,59,62,68,60.05434782608695,2000,2007
213,DEU,0,193,83,37.0,23,2000-07-18 22:00:00,2005-06-29 22:00:00,46,59,57,66,57.30434782608695,2000,2005
215,USA,0,174,73,32.0,22,2000-06-09 22:00:00,2002-08-16 22:00:00,10,57,57,64,57.2,2000,2002
218,SWE,0,178,68,44.0,20,2001-01-19 23:00:00,2010-10-19 22:00:00,90,40,46,55,45.91111111111111,2001,2010
220,SWE,0,191,88,36.0,17,2000-08-31 22:00:00,2002-09-10 22:00:00,22,33,33,44,35.31818181818182,2000,2002
228,CZE,0,178,63,40.0,29,2000-06-22 22:00:00,2011-08-12 22:00:00,47,64,62,72,65.91489361702128,2000,2011
235,FRA,0,184,68,44.0,27,2000-06-15 22:00:00,2013-04-20 22:00:00,143,62,53,70,61.65034965034965,2000,2013
238,FRA,0,180,73,38.0,22,2000-08-04 22:00:00,2011-11-11 23:00:00,89,66,64,67,59.52808988764045,2000,2011
240,FRA,0,173,63,51.0,26,1999-12-28 23:00:00,2012-04-26 22:00:00,232,51,49,62,51.80172413793103,1999,2012
242,other,0,176,63,38.0,20,2000-12-12 23:00:00,2000-12-19 23:00:00,5,40,51,51,43.4,2000,2000
264,SWE,0,186,63,31.0,17,2001-08-17 22:00:00,2001-08-17 22:00:00,3,40,36,42,39.333333333333336,2001,2001
276,BEL,0,175,63,37.0,21,2000-01-19 23:00:00,2006-07-16 22:00:00,69,66,62,75,64.98550724637681,2000,2006
281,AUT,0,175,68,40.0,17,2002-07-31 22:00:00,2003-08-26 22:00:00,16,40,44,49,38.8125,2002,2003
308,ESP,0,180,63,36.0,17,2000-02-10 23:00:00,2003-04-19 22:00:00,26,62,70,72,67.76923076923077,2000,2003
311,CAN,0,175,63,29.0,26,2001-08-03 22:00:00,2002-08-05 22:00:00,5,49,51,53,51.0,2001,2002
312,USA,0,180,73,45.0,27,2000-07-29 22:00:00,2017-09-05 22:00:00,441,53,55,59,49.90249433106576,2000,2017
322,other,0,165,43,41.0,19,2000-04-05 22:00:00,2002-03-16 23:00:00,16,38,53,55,44.375,2000,2002
350,CAN,0,173,63,44.0,24,2002-08-31 22:00:00,2008-06-23 22:00:00,13,51,62,62,51.46153846153846,2002,2008
354,SWE,0,179,73,37.0,21,2001-02-01 23:00:00,2002-07-04 22:00:00,23,53,49,59,52.30434782608695,2001,2002
355,GBR,0,165,58,41.0,27,2002-11-30 23:00:00,2015-08-25 22:00:00,311,62,46,70,54.533762057877816,2002,2015
361,PRT,0,167,73,34.0,20,2000-05-03 22:00:00,2005-08-10 22:00:00,19,49,53,64,54.94736842105263,2000,2005
362,NLD,0,170,68,47.0,26,2000-09-08 22:00:00,2006-05-02 22:00:00,49,33,29,44,33.204081632653065,2000,2006
366,SWE,0,185,83,42.0,21,2002-03-15 23:00:00,2005-06-05 22:00:00,11,49,55,62,52.36363636363637,2002,2005
382,CAN,0,182,78,39.0,23,2000-12-01 23:00:00,2009-06-28 22:00:00,4,51,59,59,56.5,2000,2009
384,AUT,0,183,78,40.0,20,2000-08-05 22:00:00,2001-08-04 22:00:00,4,57,57,62,57.75,2000,2001
