,user_id,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
0,1,1999-02-06 23:00:00,2002-01-06 23:00:00,149,36,53,62,47.16107382550336,1999,2002
1,2,2001-05-31 22:00:00,2001-05-31 22:00:00,3,49,44,49,44.333333333333336,2001,2001
2,3,1999-08-09 22:00:00,2001-08-25 22:00:00,49,55,49,62,52.53061224489796,1999,2001
3,4,2004-06-30 22:00:00,2009-05-26 22:00:00,170,62,49,64,53.87647058823529,2004,2009
4,10,2000-01-14 23:00:00,2017-07-10 22:00:00,633,53,38,64,49.05529225908373,2000,2017
5,12,1998-04-30 22:00:00,2002-03-16 23:00:00,35,66,57,66,57.91428571428571,1998,2002
6,13,2000-03-21 23:00:00,2000-06-17 22:00:00,17,36,36,40,36.8235294117647,2000,2000
7,15,2004-02-18 23:00:00,2006-10-08 22:00:00,161,59,68,68,61.04347826086956,2004,2006
8,16,1997-08-09 22:00:00,2013-04-03 22:00:00,95,57,59,64,51.463157894736845,1997,2013
9,17,1999-12-31 23:00:00,2002-05-31 22:00:00,45,38,29,44,30.977777777777778,2000,2002
10,18,2000-06-30 22:00:00,2012-04-23 22:00:00,390,49,51,64,52.764102564102565,2000,2012
11,19,2000-08-07 22:00:00,2002-03-11 23:00:00,58,49,46,51,36.13793103448276,2000,2002
12,24,2000-10-03 22:00:00,2000-10-03 22:00:00,1,36,36,36,36.0,2000,2000
13,26,2000-09-22 22:00:00,2000-07-31 22:00:00,6,64,59,64,59.666666666666664,2000,2000
14,27,2000-09-29 22:00:00,2001-06-15 22:00:00,8,49,49,53,50.5,2000,2001
15,28,1999-10-28 22:00:00,2017-08-25 22:00:00,334,57,46,64,48.93712574850299,1999,2017
16,29,2000-10-06 22:00:00,2000-10-06 22:00:00,1,13,13,13,13.0,2000,2000
17,30,2001-04-06 22:00:00,2003-03-01 23:00:00,37,40,38,53,41.189189189189186,2001,2003
18,32,1999-02-19 23:00:00,2009-07-31 22:00:00,219,59,42,62,47.39269406392694,1999,2009
19,34,1999-12-31 23:00:00,2000-12-31 23:00:00,31,51,46,55,48.774193548387096,2000,2001
20,35,1998-08-31 22:00:00,2008-09-30 22:00:00,72,53,51,64,48.75,1998,2008
21,36,2000-08-23 22:00:00,2000-08-05 22:00:00,81,36,33,51,33.27160493827161,2000,2000
22,38,2000-11-03 23:00:00,2017-08-26 22:00:00,810,55,61,72,57.54814814814815,2000,2017
23,39,2000-09-09 22:00:00,2000-05-28 22:00:00,10,53,42,53,47.9,2000,2000
