,grades_max
0,39
1,59
2,49
3,53
4,51
5,59
6,57
7,57
8,40
9,62
10,40
11,46
12,62
13,53
14,62
15,64
16,44
17,44
18,59
19,55
20,46
21,49
22,55
23,49
24,66
25,53
26,44
27,62
28,62
29,67
30,66
31,42
32,46
33,55
34,44
35,55
36,59
37,53
38,66
39,49
40,57
41,57
42,53
43,49
44,57
45,51
46,64
47,51
48,44
49,62
50,55
51,52
52,62
53,64
54,57
55,49
56,44
57,57
58,49
59,70
60,53
61,44
62,53
63,45
64,51
65,59
66,72
67,62
68,72
69,40
70,57
71,62
72,74
73,53
74,62
75,51
76,70
77,64
78,49
79,44
80,66
81,64
82,51
83,59
84,59
85,44
86,68
87,53
88,46
89,64
90,66
91,57
92,51
93,46
94,62
95,56
96,55
97,46
98,64
99,64
100,66
101,57
102,57
103,64
104,66
105,53
106,55
107,53
108,66
109,62
110,57
111,62
112,59
113,66
114,59
115,72
116,49
117,49
118,66
119,62
120,40
121,53
122,57
123,64
124,55
125,62
126,68
127,61
128,62
129,68
130,53
131,66
132,64
133,59
134,59
135,49
136,63
137,57
138,71
139,56
140,44
141,62
142,53
143,59
144,53
145,72
146,49
147,64
148,42
149,55
150,46
151,55
152,57
153,59
154,62
155,59
156,49
157,49
158,51
159,55
160,59
161,53
162,43
163,49
164,64
165,49
166,53
167,55
168,56
169,57
170,57
171,62
172,38
173,44
174,64
175,70
176,51
177,68
178,57
179,57
180,49
181,53
182,46
183,66
184,57
185,53
186,55
187,55
188,57
189,62
190,71
191,62
192,72
193,52
194,65
195,62
196,66
197,59
198,42
199,58
200,53
201,57
202,57
203,66
204,64
205,51
206,53
207,66
208,66
209,55
210,66
211,62
212,57
213,64
214,70
215,72
216,64
217,55
218,59
219,62
220,57
221,55
222,51
223,53
224,57
225,62
226,44
227,68
228,55
229,59
230,70
231,55
232,55
233,59
234,70
235,71
236,57
237,44
238,59
239,64
240,57
241,55
242,55
243,57
244,55
245,55
246,62
247,51
248,49
249,66
250,55
251,62
252,49
253,44
254,66
255,57
256,66
257,57
258,72
259,68
260,38
261,62
262,55
263,53
264,64
265,53
266,51
267,55
268,55
269,70
270,49
271,64
272,61
273,49
274,61
275,57
276,51
277,62
278,66
279,62
280,64
281,64
282,64
283,57
284,53
285,66
286,59
287,66
288,49
289,64
290,38
291,70
292,64
293,59
294,59
295,66
296,66
297,53
298,53
299,66
300,68
301,57
302,57
303,64
304,59
305,51
306,36
307,55
308,53
309,59
310,62
311,40
312,49
313,51
314,55
315,64
316,46
317,57
318,63
319,49
320,64
321,64
322,68
323,57
324,66
325,57
326,66
327,63
328,57
329,51
330,61
331,66
332,51
333,46
334,56
335,51
336,59
337,53
338,41
339,57
340,55
341,66
342,55
343,65
344,55
345,55
346,57
347,75
348,59
349,55
350,62
351,59
352,62
353,59
354,59
355,70
356,70
357,59
358,53
359,68
360,53
361,62
362,49
363,62
364,66
365,66
366,64
367,51
368,57
369,64
370,51
371,49
372,70
373,62
374,51
375,64
376,49
377,49
378,44
379,57
380,53
381,66
382,46
383,66
384,58
385,53
386,53
387,62
388,57
389,44
390,59
391,59
392,46
393,62
394,38
395,64
396,64
397,53
398,59
399,64
400,49
401,57
402,64
403,57
404,57
405,59
406,63
407,75
408,57
409,49
410,53
411,68
412,55
413,57
414,51
415,45
416,72
417,62
418,57
419,51
420,64
421,46
422,66
423,59
424,53
425,45
426,66
427,53
428,62
429,49
430,49
431,46
432,51
433,66
434,59
435,49
436,42
437,51
438,51
439,51
440,62
441,64
442,51
443,51
444,68
445,57
446,57
447,51
448,68
449,57
450,57
451,66
452,57
453,66
454,64
455,49
456,38
457,57
458,59
459,59
460,62
461,55
462,63
463,55
464,42
465,62
466,55
467,59
468,59
469,51
470,54
471,64
472,62
473,51
474,64
475,59
476,44
477,51
478,57
479,50
480,66
481,62
482,62
483,50
484,59
485,53
486,64
487,66
488,57
489,61
490,66
491,57
492,49
493,42
494,54
495,46
496,64
497,59
498,51
499,55
500,64
501,53
502,59
503,62
504,53
505,49
506,53
507,49
508,57
509,66
510,46
511,46
512,51
513,59
514,57
515,57
516,59
517,62
518,51
519,49
520,64
521,68
522,62
523,59
524,66
525,49
526,62
527,56
528,49
529,66
530,44
531,38
532,49
533,55
534,49
535,62
536,40
537,46
538,64
539,68
540,59
541,57
542,62
543,66
544,57
545,51
546,51
547,62
548,55
549,57
550,38
551,72
552,53
553,68
554,46
555,49
556,64
557,55
558,49
559,64
560,61
561,55
562,62
563,62
564,40
565,53
566,61
567,49
568,64
569,64
570,57
571,66
572,66
573,62
574,57
575,51
576,49
577,66
578,64
579,66
580,49
581,64
582,55
583,62
584,64
585,51
586,39
587,55
588,52
589,49
590,68
591,62
592,70
593,62
594,51
595,52
596,64
597,64
598,62
599,77
600,57
601,70
602,51
603,57
604,66
605,62
606,53
607,59
608,49
609,64
610,53
611,64
612,40
613,70
614,64
615,57
616,55
617,64
618,49
619,69
620,49
621,64
622,68
623,51
624,51
625,62
626,53
627,62
628,61
